Teams,Rating,Position
AUSTRALIA,124,3715
INDIA,120,3108
ENGLAND,108,3679
SOUTH AFRICA,103,1845
NEW ZEALAND,96,2121
PAKISTAN,89,1519
SRI LANKA,83,1501
WEST INDIES,78,1783
BANGLADESH,53,906
IRELAND,26,131
ZIMBABWE,4,11
AFGHANISTAN,0,0
INDIA,122,5117
AUSTRALIA,116,3936
SOUTH AFRICA,112,3357
PAKISTAN,106,2762
NEW ZEALAND,101,3349
ENGLAND,95,2672
SRI LANKA,93,4363
BANGLADESH,86,3453
AFGHANISTAN,80,2477
WEST INDIES,69,2205
SCOTLAND,52,1450
IRELAND,50,1091
ZIMBABWE,49,1181
NETHERLANDS,44,1482
CANADA,36,320
NAMIBIA,32,756
NEPAL,31,1095
OMAN,24,581
USA,21,410
UAE,12,345
INDIA,267,16556
AUSTRALIA,256,10241
ENGLAND,253,9876
WEST INDIES,252,11604
SOUTH AFRICA,251,8777
NEW ZEALAND,247,12113
PAKISTAN,241,11097
SRI LANKA,229,8942
BANGLADESH,225,11253
AFGHANISTAN,223,8682
IRELAND,195,9159
ZIMBABWE,193,8896
SCOTLAND,192,4606
NAMIBIA,188,6965
NETHERLANDS,184,3873
UAE,176,7386
NEPAL,169,6601
USA,169,3381
OMAN,163,6192
PNG,144,4472
UGANDA,135,8353
HONG KONG,135,4977
CANADA,129,2700
MALAYSIA,123,4931
KUWAIT,119,3677
BAHRAIN,119,4030
JERSEY,118,3063
QATAR,113,2598
ITALY,108,1944
BERMUDA,108,1185
SPAIN,106,1376
SAUDI ARABIA,105,3142
KENYA,104,5203
TANZANIA,90,3797
GERMANY,89,2860
NIGERIA,80,2711
GUERNSEY,77,1389
SINGAPORE,73,1676
NORWAY,72,1444
CAYMAN ISLANDS,72,646
DENMARK,68,1430
CAMBODIA,67,1471
PORTUGAL,63,1071
ISLE OF MAN,61,857
BELGIUM,59,1710
VANUATU,58,921
AUSTRIA,56,1691
FRANCE,55,1325
SWITZERLAND,55,934
BOTSWANA,54,1298
JAPAN,54,1504
MALAWI,48,953
ROMANIA,47,1316
CZECH REPUBLIC,47,658
SWEDEN,45,770
FINLAND,43,684
ARGENTINA,43,340
PHILIPPINES,41,701
INDONESIA,39,1091
THAILAND,35,850
MOZAMBIQUE,33,522
RWANDA,32,2048
GHANA,31,873
FIJI,30,152
MALTA,29,1188
LUXEMBOURG,27,753
SIERRA LEONE,26,651
ISRAEL,25,178
BAHAMAS,24,191
HUNGARY,20,336
SLOVENIA,19,150
ESTONIA,18,255
PANAMA,17,157
GIBRALTAR,17,503
CROATIA,13,159
CYPRUS,12,146
BHUTAN,11,176
BULGARIA,7,154
ESWATINI,7,118
SERBIA,7,134
CHINA,5,53
MALDIVES,3,61
CAMEROON,3,26
MONGOLIA,0,0
TURKEY,0,0
SEYCHELLES,0,0
SAMOA,0,0
MALI,0,0
LESOTHO,0,0
GAMBIA,0,0
