Position,Player,Rating
1,Ravindra Jadeja,444
2,Ravichandran Ashwin,322
3,Shakib Al Hasan,310
4,Joe Root,284
5,Axar Patel,269
6,Ben Stokes,266
7,Jason Holder,257
8,Pat Cummins,245
9,Chris Woakes,237
10,Marco Jansen,235
11,Matt Henry,221
12,Kyle Mayers,217
13,Mehidy Hasan Miraz,213
14,Mitchell Starc,206
15,Cameron Green,202
16,Kyle Jamieson,199
17,Nathan Lyon,187
18,Glenn Phillips,185
19,Kagiso Rabada,170
20,Tim Southee,161
21,Keshav Maharaj,157
22,Ollie Robinson,153
23,Ramesh Mendis,143
24,Mitchell Marsh,132
25,Aamer Jamal,131
26,Dhananjaya de Silva,129
26,Mark Wood,129
28,Roston Chase,126
29,Sean Williams,122
30,Kemar Roach,121
30,Alzarri Joseph,121
32,Josh Hazlewood,119
33,Agha Salman,115
34,Moeen Ali,111
35,Travis Head,105
36,Kuldeep Yadav,102
37,Mohammed Shami,101
38,Jack Leach,100
39,Shardul Thakur,99
40,Mitchell Santner,97
41,Jasprit Bumrah,96
42,Hasan Ali,95
43,Noman Ali,94
44,Rachin Ravindra,91
44,Taijul Islam,91
46,Mark Adair,88
47,Andy McBrine,87
47,Kane Williamson,87
49,Kraigg Brathwaite,82
50,Prabath Jayasuriya,80
51,Tom Hartley,77
52,Angelo Mathews,76
52,Faheem Ashraf,76
54,Shaheen Afridi,74
55,Anrich Nortje,73
56,Donald Tiripano,65
57,Mominul Haque,63
58,Steven Smith,62
59,Gudakesh Motie,61
59,Umesh Yadav,61
59,Kamindu Mendis,61
62,Marnus Labuschagne,60
63,Shamar Joseph,59
63,Michael Bracewell,59
65,Wiaan Mulder,57
66,Ajaz Patel,56
67,Dean Elgar,55
67,Simon Harmer,55
69,Rahkeem Cornwall,53
70,Nayeem Hasan,52
71,Todd Murphy,47
73,Amir Hamza,45
74,Ish Sodhi,44
75,Neil Brand,43
76,Vishwa Fernando,42
77,Brandon Mavuta,39
78,Lungi Ngidi,38
79,Blessing Muzarabani,37
79,Mohammed Siraj,37
81,Naseem Shah,36
82,Gerald Coetzee,35
82,Kasun Rajitha,35
82,Jomel Warrican,35
85,Rehan Ahmed,31
86,Kavem Hodge,30
87,Shoriful Islam,29
88,Taskin Ahmed,28
88,Abrar Ahmed,28
90,Jayden Seales,27
91,Sajid Khan,25
92,Duanne Olivier,24
93,Scott Boland,23
94,Shannon Gabriel,22
95,Naveed Zadran,21
95,Curtis Campher,21
97,Josh Tongue,20
98,Shoaib Bashir,19
99,Lahiru Kumara,18
100,Ruan de Swardt,17
1,Mohammad Nabi,320
2,Shakib Al Hasan,292
3,Sikandar Raza,288
4,Assad Vala,248
5,Rashid Khan,239
6,Gerhard Erasmus,238
7,Glenn Maxwell,237
8,Mitchell Santner,233
9,Mehidy Hasan Miraz,230
10,Zeeshan Maqsood,229
11,Michael Leask,209
11,Marco Jansen,209
11,Ravindra Jadeja,209
11,Josh Hazlewood,209
15,Brandon McMullen,206
16,Rachin Ravindra,202
17,Wanindu Hasaranga,197
18,Chris Woakes,194
19,Aayan Afzal Khan,185
19,Hardik Pandya,185
19,Sean Abbott,185
22,Mark Watt,179
23,Shaheen Afridi,178
23,Azmatullah Omarzai,178
25,Shadab Khan,176
25,Bas de Leede,176
27,Steven Taylor,175
27,Adil Rashid,175
29,Sean Williams,173
30,Mark Adair,172
31,Aiden Markram,170
31,Andy McBrine,170
33,Curtis Campher,169
34,Bernard Scholtz,168
35,Moeen Ali,165
36,Keshav Maharaj,162
37,Alzarri Joseph,160
38,Maheesh Theekshana,159
39,Kagiso Rabada,158
39,Kuldeep Yadav,158
41,Mujeeb Ur Rahman,154
42,Iftikhar Ahmed,153
43,Adam Zampa,152
44,Dipendra Singh Airee,151
44,Logan van Beek,151
46,Mohammed Siraj,146
46,Rohan Mustafa,146
48,Kushal Malla,145
49,Dhananjaya de Silva,143
50,Mitchell Marsh,142
51,Jason Holder,141
51,Sompal Kami,141
53,Sam Curran,140
54,Chad Soper,139
54,Ayaan Khan,139
56,Travis Head,138
57,Marcus Stoinis,137
57,Nosthush Kenjige,137
59,Lungi Ngidi,136
59,Ruben Trumpelmann,136
61,Mitchell Starc,135
62,Safyaan Sharif,133
62,George Dockrell,133
64,Cameron Green,132
64,Trent Boult,132
64,Aqib Ilyas,132
67,Ben Stokes,131
67,Pat Cummins,131
69,Jasprit Bumrah,127
69,Harsh Thaker,127
71,Basil Hameed,126
71,JJ Smit,126
73,Sandeep Lamichhane,125
73,Daryl Mitchell,125
75,Jan Frylinck,124
76,Fazalhaq Farooqi,123
76,Norman Vanua,123
76,Nisarg Patel,123
76,Akeal Hosein,123
80,Dilshan Madushanka,122
80,Andile Phehlukwayo,122
80,Haris Rauf,122
83,Tabraiz Shamsi,121
