Position,Player,Rating
1,Nat Sciver-Brunt,412
2,Marizanne Kapp,405
3,Hayley Matthews,394
4,Ashleigh Gardner,364
5,Deepti Sharma,360
6,Amelia Kerr,344
7,Chamari Athapaththu,255
8,Ellyse Perry,252
9,Sophie Devine,250
10,Nida Dar,212
11,Charlotte Dean,205
12,Chloe Tryon,190
13,Jess Jonassen,189
14,Alana King,188
14,Sophie Ecclestone,188
16,Laura Delany,183
17,Kate Cross,168
18,Pooja Vastrakar,166
19,Annabel Sutherland,164
20,Nadine de Klerk,158
20,Georgia Wareham,158
22,Stafanie Taylor,146
23,Kavisha Dilhari,143
24,Jess Kerr,134
25,Hannah Rowe,130
26,Tahlia McGrath,128
27,Fatima Sana,127
28,Megan Schutt,126
29,Chinelle Henry,115
30,Arlene Kelly,112
31,Harmanpreet Kaur,108
32,Lea Tahuhu,107
33,Kim Garth,106
34,Fran Jonas,95
34,Kathryn Bryce,95
36,Suzie Bates,93
37,Sadia Iqbal,91
37,Nashra Sandhu,91
39,Aliya Riaz,90
40,Inoka Ranaweera,89
41,Ayabonga Khaka,88
42,Diana Baig,86
42,Nonkululeko Mlaba,86
44,Oshadi Ranasinghe,84
45,Shamilia Connell,83
46,Cara Murray,80
46,Josephine Nkomo,80
48,Sune Luus,78
48,Nahida Akter,78
50,Aaliyah Alleyne,77
50,Georgina Dempsey,77
52,Meghna Singh,74
52,Omaima Sohail,74
54,Afy Fletcher,73
55,Heather Knight,71
56,Lauren Bell,69
56,Orla Prendergast,69
56,Leah Paul,69
59,Sibona Jimmy,67
60,Sneh Rana,65
61,Kelis Ndlovu,63
62,Fahima Khatun,61
63,Marufa Akter,57
63,Precious Marange,57
65,Rabeya Khan,56
65,Brooke Halliday,56
67,Ghulam Fatima,55
67,Iris Zwilling,55
69,Gaby Lewis,54
69,Jahanara Alam,54
71,Renuka Thakur Singh,52
71,Robine Rijke,52
73,Eimear Richardson,51
75,Suleeporn Laomi,50
76,Sarah Glenn,49
76,Nattaya Boochatham,49
78,Alice Capsey,48
79,Onnicha Kamchomphu,47
79,Chanida Sutthiruang,47
79,Ritu Moni,47
79,Ava Canning,47
83,Frederique Overdijk,45
84,Nomvelo Sibanda,44
85,Sultana Khatun,43
85,Karishma Ramharack,43
85,Udeshika Prabodhani,43
88,Tumi Sekhukhune,41
90,Emma Lamb,39
91,Masabata Klaas,36
91,Maddy Green,36
93,Thipatcha Putthawong,34
95,Sugandika Kumari,33
97,Danielle Wyatt,32
97,Sornnarin Tippoch,32
97,Jane Maguire,32
97,Umm-e-Hani,32
1,Hayley Matthews,524
2,Ashleigh Gardner,401
3,Deepti Sharma,396
4,Amelia Kerr,379
5,Chamari Athapaththu,344
6,Sophie Devine,278
7,Nida Dar,275
8,Kathryn Bryce,261
9,Nat Sciver-Brunt,247
10,Marizanne Kapp,236
11,Sophie Ecclestone,233
12,Nadine de Klerk,219
13,Laura Delany,211
14,Ellyse Perry,188
15,Chloe Tryon,181
16,Charlotte Dean,173
17,Kavisha Dilhari,167
18,Sarah Glenn,164
19,Orla Prendergast,160
20,Kelis Ndlovu,159
21,Nattaya Boochatham,154
21,Tahlia McGrath,154
23,Georgia Wareham,147
24,Sibona Jimmy,144
24,Josephine Nkomo,144
26,Salma Khatun,143
26,Chanida Sutthiruang,143
28,Fatima Sana,136
29,Afy Fletcher,134
29,Kaia Arua,134
31,Annabel Sutherland,128
31,Kavisha Egodage,128
33,Pooja Vastrakar,126
34,Jess Jonassen,122
35,Esha Rohit Oza,121
36,Stafanie Taylor,120
37,Rabeya Khan,115
38,Nahida Akter,111
39,Lea Tahuhu,109
40,Inoshi Priyadharshani,108
41,Chinelle Henry,106
41,Suzie Bates,106
43,Aaliyah Alleyne,103
44,Eimear Richardson,100
45,Renuka Thakur Singh,99
46,Jess Kerr,97
46,Precious Marange,97
48,Fran Jonas,96
49,Rubina Chhetry,95
51,Nonkululeko Mlaba,93
52,Sadia Iqbal,92
53,Sita Rana Magar,85
54,Fahima Khatun,83
55,Shamilia Connell,81
56,Heather Knight,80
56,Sugandika Kumari,80
58,Megan Schutt,78
59,Shafali Verma,76
60,Shorna Akter,75
60,Alice Capsey,75
60,Arlene Kelly,75
60,Rachel Andrew,75
64,Thipatcha Putthawong,74
65,Ayabonga Khaka,72
65,Indu Barma,72
67,Shabnim Ismail,71
69,Hayley Jensen,69
69,Hannah Rowe,69
71,Cara Murray,68
71,Nashra Sandhu,68
73,Marufa Akter,67
74,Ava Canning,65
74,Radha Yadav,65
76,Karishma Ramharack,64
78,Harmanpreet Kaur,61
78,Oshadi Ranasinghe,61
78,Omaima Sohail,61
81,Alana King,59
83,Loreen Tshuma,58
83,Sune Luus,58
85,Kary Chan,56
86,Achini Kulasuriya,55
86,Mariko Hill,55
88,Devika Vaidya,54
88,Chaya Mughal,54
88,Sneh Rana,54
92,Sanjida Akter Meghla,53
92,Tuba Hassan,53
92,Danielle Wyatt,53
95,Ravina Oa,51
95,Eden Carson,51
97,Aliya Riaz,50
97,Leah Paul,50
97,Darcie Brown,50
