Position,Player,Rating
1,Joe Root,872
2,Kane Williamson,859
3,Daryl Mitchell,768
3,Babar Azam,768
5,Steven Smith,757
6,Rohit Sharma,751
7,Harry Brook,749
8,Yashasvi Jaiswal,740
9,Dimuth Karunaratne,739
10,Virat Kohli,737
11,Usman Khawaja,728
12,Marnus Labuschagne,720
13,Travis Head,697
14,Saud Shakeel,693
15,Dhananjaya de Silva,688
16,Ben Duckett,684
17,Mohammad Rizwan,668
18,Temba Bavuma,665
19,Shubman Gill,664
20,Zak Crawley,662
21,Aiden Markram,654
22,Ollie Pope,645
23,Dean Elgar,641
24,Angelo Mathews,639
25,Cameron Green,634
25,Mushfiqur Rahim,634
27,Jonny Bairstow,632
28,Dinesh Chandimal,629
29,Litton Das,625
30,Ben Stokes,621
31,Abdullah Shafique,608
32,Agha Salman,605
33,Sean Williams,602
34,David Warner,598
35,Tom Latham,595
36,Tom Blundell,587
37,Imam-ul-Haq,584
38,Alex Carey,574
39,Cheteshwar Pujara,565
40,Ravindra Jadeja,564
41,Kraigg Brathwaite,557
42,Shakib Al Hasan,553
43,Devon Conway,542
44,Henry Nicholls,540
45,Mominul Haque,533
45,Kamindu Mendis,533
47,David Bedingham,528
48,Ajinkya Rahane,525
49,Tamim Iqbal,523
50,Kusal Mendis,520
51,Craig Ervine,518
52,Jermaine Blackwood,515
53,Shreyas Iyer,514
54,Axar Patel,513
55,Ibrahim Zadran,509
56,Lorcan Tucker,503
57,Mitchell Marsh,502
58,KL Rahul,494
59,Keegan Petersen,493
60,Shan Masood,487
61,Najmul Hossain Shanto,485
62,Joshua Da Silva,477
63,Kyle Verreynne,476
64,Rachin Ravindra,474
66,Sarfaraz Ahmed,471
67,Glenn Phillips,470
68,Niroshan Dickwella,465
69,Ben Foakes,456
70,Jason Holder,453
71,Dhruv Jurel,452
72,Kavem Hodge,450
73,Rahmat Shah,441
74,Zakir Hasan,437
75,Oshada Fernando,426
76,Kyle Mayers,415
