Position,Player,Rating
1,Ravichandran Ashwin,870
2,Josh Hazlewood,847
2,Jasprit Bumrah,847
4,Kagiso Rabada,834
5,Pat Cummins,820
6,Nathan Lyon,801
7,Ravindra Jadeja,788
8,Shaheen Afridi,733
9,Kyle Jamieson,729
10,Prabath Jayasuriya,724
11,Matt Henry,711
12,Mitchell Starc,704
13,Kuldeep Yadav,686
14,Ollie Robinson,679
15,Anrich Nortje,664
16,Taijul Islam,654
17,Kemar Roach,646
18,Tim Southee,634
19,Chris Woakes,619
20,Mark Wood,605
21,Mohammed Shami,598
22,Marco Jansen,592
23,Mehidy Hasan Miraz,589
24,Mohammed Siraj,587
25,Asitha Fernando,576
26,Jayden Seales,568
26,Jason Holder,568
28,Keshav Maharaj,566
29,Shakib Al Hasan,561
30,Lungi Ngidi,558
31,Ramesh Mendis,552
31,Alzarri Joseph,552
33,Hasan Ali,551
34,Jack Leach,533
35,Ajaz Patel,526
35,Axar Patel,526
37,Kyle Mayers,524
38,Naseem Shah,514
39,Kasun Rajitha,510
40,Duanne Olivier,504
41,Vishwa Fernando,502
42,Umesh Yadav,498
43,Shannon Gabriel,486
44,Lahiru Kumara,482
44,Noman Ali,482
47,Abrar Ahmed,449
48,Aamer Jamal,432
49,Ben Stokes,429
50,Blessing Muzarabani,423
51,Nayeem Hasan,418
52,Gudakesh Motie,399
53,Glenn Phillips,394
54,Shoaib Bashir,388
55,Moeen Ali,381
56,Nandre Burger,372
57,William ORourke,365
58,Scott Boland,363
59,Roston Chase,359
60,Todd Murphy,354
61,Shardul Thakur,350
62,Matthew Potts,347
63,Mark Adair,343
64,Shamar Joseph,328
65,Joe Root,326
66,Jomel Warrican,321
67,Cameron Green,320
68,Josh Tongue,319
69,Mitchell Santner,316
70,Ebadot Hossain,315
71,Shoriful Islam,312
72,Tom Hartley,301
73,Ish Sodhi,293
74,Dane Piedt,288
74,Neil Brand,288
76,Michael Bracewell,286
77,Craig Young,285
78,Amir Hamza,282
79,Sajid Khan,278
80,Simon Harmer,277
81,Naveed Zadran,276
82,Rahkeem Cornwall,274
83,Victor Nyauchi,264
84,Mitchell Marsh,263
85,Khaled Ahmed,259
86,Wiaan Mulder,250
86,Blair Tickner,250
88,Barry McCarthy,247
88,Rehan Ahmed,247
90,Donald Tiripano,235
91,Andy McBrine,233
92,Yamin Ahmadzai,231
93,Gerald Coetzee,226
94,Brandon Mavuta,219
95,Taskin Ahmed,217
96,Faheem Ashraf,216
97,Hasan Mahmud,215
98,Matthew Kuhnemann,208
99,Sean Williams,204
100,Nijat Masood,196
1,Keshav Maharaj,716
2,Josh Hazlewood,688
3,Adam Zampa,686
4,Mohammed Siraj,678
5,Jasprit Bumrah,665
6,Bernard Scholtz,657
7,Mohammad Nabi,656
8,Shaheen Afridi,650
9,Kuldeep Yadav,645
10,Trent Boult,643
11,Rashid Khan,634
12,Mohammed Shami,629
13,Maheesh Theekshana,622
14,Mitchell Starc,604
15,Kagiso Rabada,599
16,Chris Woakes,596
17,Matt Henry,593
18,Mujeeb Ur Rahman,591
19,Saurabh Netravalkar,586
20,Mark Watt,585
21,Mitchell Santner,582
22,Ravindra Jadeja,572
23,Haris Rauf,563
24,Shoriful Islam,555
25,Andy McBrine,553
25,Wanindu Hasaranga,553
27,Mark Adair,550
28,Richard Ngarava,548
29,Pat Cummins,545
29,Dilshan Madushanka,545
31,Shakib Al Hasan,544
32,Adil Rashid,541
32,Mehidy Hasan Miraz,541
34,Marco Jansen,537
35,Lungi Ngidi,535
36,Sean Abbott,530
36,Akeal Hosein,530
38,Aryan Dutt,524
39,Joshua Little,517
40,Reece Topley,515
41,Aayan Afzal Khan,512
42,Taskin Ahmed,508
42,Fazalhaq Farooqi,508
44,Mustafizur Rahman,505
44,Mohammad Wasim Jr,505
46,Alzarri Joseph,503
47,Sandeep Lamichhane,502
48,Tabraiz Shamsi,500
49,Jofra Archer,497
50,Kaleemullah,493
51,Sikandar Raza,492
52,Gudakesh Motie,486
53,Lalit Rajbanshi,485
54,Bilal Khan,484
54,Lockie Ferguson,484
56,Logan van Beek,481
56,Ruben Trumpelmann,481
58,Blessing Muzarabani,480
59,Nosthush Kenjige,479
60,Craig Young,477
61,Christopher Sole,474
62,Dipendra Singh Airee,471
63,Zeeshan Maqsood,470
64,Mohammad Nawaz,468
65,Gerald Coetzee,465
66,Assad Vala,464
67,Chad Soper,462
68,Rohan Mustafa,459
69,Zahoor Khan,457
70,Safyaan Sharif,452
71,Mark Wood,447
72,Brandon McMullen,444
72,Michael Leask,444
74,Shardul Thakur,440
75,Zunaed Siddique,436
76,Graham Hume,435
77,Moeen Ali,431
78,Naseem Shah,429
79,Sam Curran,424
79,Hardik Pandya,424
81,Dunith Wellalage,422
82,Sompal Kami,420
83,Shadab Khan,418
84,Hasan Ali,415
85,Ish Sodhi,412
86,Fred Klaassen,411
86,Tim Southee,411
88,Tangeni Lungameni,410
89,Nisarg Patel,409
90,Bas de Leede,405
91,Jason Holder,404
92,Dushmantha Chameera,403
93,Gerhard Erasmus,398
93,Paul van Meekeren,398
95,Glenn Maxwell,396
96,Kasun Rajitha,391
97,Vivian Kingma,387
98,Anrich Nortje,385
99,Akila Dananjaya,380
99,Rachin Ravindra,380
1,Adil Rashid,718
2,Anrich Nortje,675
3,Rashid Khan,668
4,Wanindu Hasaranga,663
5,Josh Hazlewood,662
6,Akeal Hosein,659
7,Adam Zampa,654
8,Fazalhaq Farooqi,645
9,Maheesh Theekshana,640
10,Ravi Bishnoi,635
11,Alzarri Joseph,633
12,Tabraiz Shamsi,629
13,Axar Patel,627
13,Gudakesh Motie,627
15,Shaheen Afridi,623
16,Tim Southee,622
17,Mustafizur Rahman,620
18,Keshav Maharaj,618
19,Arshdeep Singh,615
20,Reece Topley,613
21,Mitchell Santner,605
22,Kuldeep Yadav,603
23,Nathan Ellis,602
24,Jasprit Bumrah,591
25,Naveen-ul-Haq,590
26,Rishad Hossain,589
26,Taskin Ahmed,589
28,Haris Rauf,583
29,Lockie Ferguson,581
30,Ish Sodhi,573
31,Kagiso Rabada,565
32,Imad Wasim,563
33,Sam Curran,559
34,Mujeeb Ur Rahman,556
35,Jofra Archer,553
36,Mahedi Hasan,539
37,Pat Cummins,538
38,Mark Watt,536
39,Trent Boult,530
40,Washington Sundar,524
41,Shakib Al Hasan,516
42,Jason Holder,515
43,Ashton Agar,509
44,Romario Shepherd,505
45,Blessing Muzarabani,501
46,Mark Adair,499
47,Mohammed Siraj,497
48,Mitchell Starc,496
49,Obed McCoy,494
50,Naseem Shah,493
51,Roston Chase,491
52,Wayne Parnell,486
53,Richard Ngarava,481
53,Shadab Khan,481
55,Aayan Afzal Khan,479
56,Chris Jordan,478
57,Nuwan Thushara,477
58,Logan van Beek,475
59,Paul van Meekeren,474
60,Mark Wood,472
61,Chris Woakes,468
61,Mohammad Wasim Jr,468
63,Vivian Kingma,466
64,Joshua Little,465
65,Mohammad Amir,461
66,Tanzim Hasan Sakib,460
67,Shoriful Islam,455
67,Hardik Pandya,455
69,Bradley Currie,453
70,Matt Henry,447
70,Marco Jansen,447
72,Michael Bracewell,445
73,Sikandar Raza,442
74,Mohammad Nabi,435
75,Nasum Ahmed,432
75,Hasan Mahmud,432
77,Ben Sears,431
77,Matheesha Pathirana,431
79,Lungi Ngidi,430
80,Fred Klaassen,429
80,Benjamin White,429
82,Barry McCarthy,426
83,Safyaan Sharif,424
84,Mukesh Kumar,423
85,Marcus Stoinis,421
85,Jason Behrendorff,421
87,Adam Milne,419
88,Lahiru Kumara,416
89,Zahoor Khan,415
90,Mohammad Nawaz,413
90,Bernard Scholtz,413
92,Tim Pringle,411
93,Sompal Kami,410
94,Andre Russell,407
95,Yuzvendra Chahal,404
96,Ehsan Khan,402
97,Dipendra Singh Airee,398
98,Tendai Chatara,394
99,Zunaed Siddique,389
100,Dushmantha Chameera,388
