Position,Player,Rating
1,Sophie Ecclestone,794
2,Kate Cross,686
3,Megan Schutt,682
4,Deepti Sharma,671
5,Ashleigh Gardner,639
6,Ayabonga Khaka,621
7,Charlotte Dean,610
7,Hayley Matthews,610
9,Jess Jonassen,605
10,Marizanne Kapp,593
11,Nahida Akter,584
12,Jess Kerr,554
13,Alana King,550
14,Nashra Sandhu,544
15,Amelia Kerr,542
16,Lea Tahuhu,529
17,Nat Sciver-Brunt,527
18,Hannah Rowe,512
19,Sadia Iqbal,500
20,Georgia Wareham,492
21,Inoka Ranaweera,490
22,Udeshika Prabodhani,478
23,Nida Dar,477
24,Lauren Bell,474
25,Nadine de Klerk,465
25,Kim Garth,465
27,Afy Fletcher,453
28,Shamilia Connell,446
29,Nonkululeko Mlaba,445
30,Arlene Kelly,432
31,Oshadi Ranasinghe,431
32,Masabata Klaas,418
33,Renuka Thakur Singh,415
34,Kavisha Dilhari,408
35,Diana Baig,404
36,Chinelle Henry,402
37,Darcie Brown,400
38,Laura Delany,397
39,Jahanara Alam,395
40,Sophie Devine,394
41,Fran Jonas,391
42,Sneh Rana,389
42,Cara Murray,389
44,Fatima Sana,388
45,Pooja Vastrakar,382
46,Umm-e-Hani,381
47,Annabel Sutherland,376
48,Rabeya Khan,374
49,Ellyse Perry,367
49,Meghna Singh,367
51,Chloe Tryon,365
52,Karishma Ramharack,364
53,Iris Zwilling,363
54,Sugandika Kumari,358
55,Sultana Khatun,349
56,Ghulam Fatima,347
57,Achini Kulasuriya,346
58,Georgina Dempsey,344
59,Thipatcha Putthawong,341
60,Chamari Athapaththu,339
61,Sarah Glenn,336
62,Josephine Nkomo,331
63,Ava Canning,324
64,Onnicha Kamchomphu,314
66,Kelis Ndlovu,313
67,Fahima Khatun,312
68,Nattaya Boochatham,309
70,Sibona Jimmy,300
71,Lauren Filer,296
72,Aaliyah Alleyne,291
73,Tumi Sekhukhune,286
74,Jane Maguire,283
75,Tahlia McGrath,278
76,Precious Marange,274
76,Nomvelo Sibanda,274
78,Stafanie Taylor,270
79,Suleeporn Laomi,269
80,Marufa Akter,260
82,Caroline de Lange,251
84,Kathryn Bryce,240
85,Eimear Richardson,235
86,Abtaha Maqsood,234
86,Vicky Araa,234
88,Chanida Sutthiruang,232
89,Eva Lynch,227
90,Isabel Toua,226
91,Loreen Tshuma,225
92,Omaima Sohail,222
93,Radha Yadav,219
95,Olivia Bell,210
95,Hannah Rainey,210
97,Sornnarin Tippoch,209
98,Inoshi Priyadharshani,208
1,Sophie Ecclestone,772
2,Sarah Glenn,760
3,Deepti Sharma,755
4,Sadia Iqbal,743
5,Renuka Thakur Singh,722
6,Inoshi Priyadharshani,711
7,Hayley Matthews,703
8,Fran Jonas,694
9,Lauren Bell,690
10,Rabeya Khan,677
11,Charlotte Dean,673
12,Nashra Sandhu,668
13,Radha Yadav,665
14,Darcie Brown,657
15,Ashleigh Gardner,652
16,Nonkululeko Mlaba,645
17,Afy Fletcher,644
18,Megan Schutt,641
19,Eden Carson,640
20,Georgia Wareham,631
21,Amelia Kerr,615
22,Lea Tahuhu,606
23,Annabel Sutherland,605
24,Pooja Vastrakar,604
24,Udeshika Prabodhani,604
26,Nahida Akter,597
27,Sugandika Kumari,592
28,Shabnim Ismail,587
29,Arlene Kelly,583
30,Kavisha Dilhari,578
30,Marufa Akter,578
32,Inoka Ranaweera,577
33,Nida Dar,564
34,Karishma Ramharack,561
35,Fatima Sana,554
36,Jess Jonassen,540
37,Alana King,539
38,Ayabonga Khaka,523
39,Nadine de Klerk,519
40,Sneh Rana,514
41,Jess Kerr,512
41,Marizanne Kapp,512
43,Ava Canning,507
44,Laura Delany,505
44,Hayley Jensen,505
46,Sanjida Akter Meghla,502
48,Precious Marange,492
48,Diana Baig,492
50,Cara Murray,491
51,Chamari Athapaththu,489
52,Kathryn Bryce,485
52,Rajeshwari Gayakwad,485
54,Shamilia Connell,481
55,Nattaya Boochatham,480
56,Thipatcha Putthawong,477
57,Masabata Klaas,463
58,Tuba Hassan,462
59,Achini Kulasuriya,460
60,Ravina Oa,459
61,Sibona Jimmy,450
62,Fahima Khatun,448
63,Tumi Sekhukhune,439
64,Nomvelo Sibanda,437
65,Isabel Toua,431
66,Vicky Araa,430
66,Titas Sadhu,430
68,Josephine Nkomo,429
69,Freya Davies,428
70,Salma Khatun,427
71,Sophie Devine,424
72,Chanida Sutthiruang,421
73,Kaia Arua,419
74,Abtaha Maqsood,417
75,Chloe Tryon,415
76,Chinelle Henry,413
77,Nat Sciver-Brunt,408
78,Kelis Ndlovu,404
79,Aaliyah Alleyne,400
79,Oshadi Ranasinghe,400
81,Onnicha Kamchomphu,394
83,Loreen Tshuma,383
85,Hannah Rainey,370
86,Sultana Khatun,367
88,Umm-e-Hani,365
89,Jane Maguire,358
91,Audrey Mazvishaya,353
92,Suleeporn Laomi,347
93,Shikha Pandey,344
95,Eimear Richardson,338
97,Hannah Rowe,334
99,Georgina Dempsey,330
